"dateTime","value"
"2017-06-26","2940"
"2017-06-27","3346"
"2017-06-28","2834"
"2017-06-29","2923"
"2017-06-30","2566"
"2017-07-01","2347"
"2017-07-02","2810"
"2017-07-03","2844"
"2017-07-04","2912"
"2017-07-05","2507"
"2017-07-06","2782"
"2017-07-07","2499"
"2017-07-08","2434"
"2017-07-09","3092"
"2017-07-10","2898"
"2017-07-11","2885"
"2017-07-12","2330"
"2017-07-13","2356"
"2017-07-14","2253"
"2017-07-15","1730"
"2017-07-16","1873"
"2017-07-17","2650"
"2017-07-18","2862"
"2017-07-19","3081"
"2017-07-20","2573"
"2017-07-21","2528"
"2017-07-22","2872"
"2017-07-23","3200"
"2017-07-24","3012"
"2017-07-25","3280"
"2017-07-26","2425"
"2017-07-27","2822"
"2017-07-28","2323"
"2017-07-29","3100"
"2017-07-30","2641"
"2017-07-31","3195"
"2017-08-01","3324"
"2017-08-02","2886"
"2017-08-03","2543"
"2017-08-04","2832"
"2017-08-05","2368"
"2017-08-06","1730"
"2017-08-07","2469"
"2017-08-08","2652"
"2017-08-09","2292"
"2017-08-10","3562"
"2017-08-11","2988"
"2017-08-12","3323"
"2017-08-13","2323"
"2017-08-14","2552"
"2017-08-15","2575"
"2017-08-16","2377"
"2017-08-17","2474"
"2017-08-18","2527"
"2017-08-19","1895"
"2017-08-20","1793"
"2017-08-21","3257"
"2017-08-22","2938"
"2017-08-23","2846"
"2017-08-24","2709"
"2017-08-25","2342"
"2017-08-26","1730"
"2017-08-27","1730"
"2017-08-28","2556"
"2017-08-29","2455"
"2017-08-30","2512"
"2017-08-31","2580"
"2017-09-01","3035"
"2017-09-02","3050"
"2017-09-03","2668"
"2017-09-04","1923"
"2017-09-05","2714"
"2017-09-06","2933"
"2017-09-07","2770"
"2017-09-08","2308"
"2017-09-09","2249"
"2017-09-10","1730"
"2017-09-11","2734"
"2017-09-12","2872"
"2017-09-13","2848"
"2017-09-14","3051"
"2017-09-15","3086"
"2017-09-16","2560"
"2017-09-17","2675"
"2017-09-18","2197"
"2017-09-19","2860"
"2017-09-20","3441"
"2017-09-21","2555"
"2017-09-22","2844"
"2017-09-23","2066"
"2017-09-24","2304"
"2017-09-25","2836"
"2017-09-26","2677"
"2017-09-27","3229"
"2017-09-28","2864"
"2017-09-29","2707"
"2017-09-30","2591"
"2017-10-01","2352"
"2017-10-02","2588"
"2017-10-03","2854"
"2017-10-04","3210"
"2017-10-05","2774"
"2017-10-06","2828"
