"date","level","count","minutes"
"2017-06-27","deep",4,53
"2017-06-27","light",26,179
"2017-06-27","rem",6,44
"2017-06-27","wake",29,55
"2017-06-28","asleep",0,330
"2017-06-28","awake",1,4
"2017-06-28","restless",10,12
"2017-06-29","deep",4,42
"2017-06-29","light",13,157
"2017-06-29","rem",8,77
"2017-06-29","wake",17,34
"2017-06-30","asleep",0,158
"2017-06-30","awake",0,0
"2017-06-30","restless",7,12
"2017-06-30","asleep",0,297
"2017-06-30","awake",1,2
"2017-06-30","restless",16,26
"2017-07-02","asleep",0,367
"2017-07-02","awake",2,6
"2017-07-02","restless",12,65
"2017-07-03","asleep",0,362
"2017-07-03","awake",1,8
"2017-07-03","restless",6,38
"2017-07-04","deep",3,49
"2017-07-04","light",15,177
"2017-07-04","rem",6,31
"2017-07-04","wake",17,38
"2017-07-16","asleep",0,146
"2017-07-16","awake",0,0
"2017-07-16","restless",3,12
"2017-07-17","asleep",0,60
"2017-07-17","awake",0,0
"2017-07-17","restless",0,0
"2017-07-17","asleep",0,219
"2017-07-17","awake",1,1
"2017-07-17","restless",8,21
"2017-07-18","asleep",0,342
"2017-07-18","awake",1,1
"2017-07-18","restless",5,63
"2017-07-19","asleep",0,315
"2017-07-19","awake",1,5
"2017-07-19","restless",13,23
"2017-07-20","asleep",0,265
"2017-07-20","awake",2,4
"2017-07-20","restless",14,42
"2017-07-21","asleep",0,383
"2017-07-21","awake",1,1
"2017-07-21","restless",3,6
"2017-07-22","deep",4,41
"2017-07-22","light",24,162
"2017-07-22","rem",6,66
"2017-07-22","wake",21,37
"2017-07-23","deep",2,40
"2017-07-23","light",11,137
"2017-07-23","rem",2,28
"2017-07-23","wake",9,38
"2017-07-24","deep",2,61
"2017-07-24","light",21,175
"2017-07-24","rem",6,73
"2017-07-24","wake",23,39
"2017-07-26","deep",4,106
"2017-07-26","light",26,162
"2017-07-26","rem",9,95
"2017-07-26","wake",29,49
"2017-07-29","asleep",0,103
"2017-07-29","awake",0,0
"2017-07-29","restless",7,13
"2017-07-29","deep",2,49
"2017-07-29","light",35,201
"2017-07-29","rem",10,78
"2017-07-29","wake",32,40
"2017-07-30","deep",5,77
"2017-07-30","light",22,203
"2017-07-30","rem",8,76
"2017-07-30","wake",29,51
"2017-07-31","deep",3,44
"2017-07-31","light",20,169
"2017-07-31","rem",6,45
"2017-07-31","wake",21,36
"2017-08-01","deep",2,41
"2017-08-01","light",32,244
"2017-08-01","rem",11,47
"2017-08-01","wake",36,50
"2017-08-01","deep",2,41
"2017-08-01","light",32,244
"2017-08-01","rem",11,47
"2017-08-01","wake",36,50
"2017-08-02","deep",4,45
"2017-08-02","light",25,212
"2017-08-02","rem",3,29
"2017-08-02","wake",23,42
"2017-08-03","deep",3,73
"2017-08-03","light",18,184
"2017-08-03","rem",7,68
"2017-08-03","wake",21,53
"2017-08-04","asleep",0,393
"2017-08-04","awake",2,4
"2017-08-04","restless",7,18
"2017-08-10","deep",4,43
"2017-08-10","light",24,192
"2017-08-10","rem",5,35
"2017-08-10","wake",26,45
"2017-08-11","asleep",0,117
"2017-08-11","awake",0,0
"2017-08-11","restless",2,4
"2017-08-11","deep",4,49
"2017-08-11","light",25,214
"2017-08-11","rem",3,36
"2017-08-11","wake",23,54
"2017-08-12","deep",1,42
"2017-08-12","light",10,101
"2017-08-12","rem",2,53
"2017-08-12","wake",10,46
"2017-08-14","deep",3,104
"2017-08-14","light",32,260
"2017-08-14","rem",7,111
"2017-08-14","wake",33,48
"2017-08-15","asleep",0,59
"2017-08-15","awake",1,3
"2017-08-15","restless",0,0
"2017-08-15","asleep",0,337
"2017-08-15","awake",2,2
"2017-08-15","restless",15,21
"2017-08-17","deep",2,63
"2017-08-17","light",28,286
"2017-08-17","rem",9,90
"2017-08-17","wake",29,95
"2017-08-18","deep",4,75
"2017-08-18","light",27,160
"2017-08-18","rem",9,47
"2017-08-18","wake",29,62
"2017-08-19","asleep",0,244
"2017-08-19","awake",0,0
"2017-08-19","restless",1,4
"2017-08-19","deep",3,67
"2017-08-19","light",35,258
"2017-08-19","rem",9,79
"2017-08-19","wake",37,63
"2017-08-21","deep",4,66
"2017-08-21","light",43,217
"2017-08-21","rem",11,103
"2017-08-21","wake",44,37
"2017-08-22","deep",3,86
"2017-08-22","light",27,162
"2017-08-22","rem",6,60
"2017-08-22","wake",29,51
"2017-08-23","deep",2,72
