"dateTime","value"
"2017-06-26","10724"
"2017-06-27","14830"
"2017-06-28","8999"
"2017-06-29","9264"
"2017-06-30","7238"
"2017-07-01","3546"
"2017-07-02","7693"
"2017-07-03","9255"
"2017-07-04","11597"
"2017-07-05","7223"
"2017-07-06","8982"
"2017-07-07","6160"
"2017-07-08","4756"
"2017-07-09","12420"
"2017-07-10","9497"
"2017-07-11","11522"
"2017-07-12","5670"
"2017-07-13","6115"
"2017-07-14","4659"
"2017-07-15","0"
"2017-07-16","1255"
"2017-07-17","8030"
"2017-07-18","9705"
"2017-07-19","10558"
"2017-07-20","5556"
"2017-07-21","5413"
"2017-07-22","8284"
"2017-07-23","10725"
"2017-07-24","12442"
"2017-07-25","12828"
"2017-07-26","6865"
"2017-07-27","10437"
"2017-07-28","5835"
"2017-07-29","8042"
"2017-07-30","6480"
"2017-07-31","13265"
"2017-08-01","13301"
"2017-08-02","11225"
"2017-08-03","6746"
"2017-08-04","8710"
"2017-08-05","4543"
"2017-08-06","0"
"2017-08-07","6787"
"2017-08-08","8879"
"2017-08-09","4089"
"2017-08-10","11409"
"2017-08-11","10858"
"2017-08-12","16377"
"2017-08-13","5069"
"2017-08-14","4759"
"2017-08-15","7574"
"2017-08-16","5691"
"2017-08-17","5288"
"2017-08-18","5743"
"2017-08-19","989"
"2017-08-20","329"
"2017-08-21","9405"
"2017-08-22","8321"
"2017-08-23","6518"
"2017-08-24","5374"
"2017-08-25","5019"
"2017-08-26","0"
"2017-08-27","0"
"2017-08-28","8132"
"2017-08-29","6953"
"2017-08-30","5676"
"2017-08-31","6069"
"2017-09-01","9124"
"2017-09-02","10302"
"2017-09-03","7028"
"2017-09-04","1469"
"2017-09-05","8089"
"2017-09-06","9264"
"2017-09-07","8616"
"2017-09-08","4042"
"2017-09-09","3962"
"2017-09-10","0"
"2017-09-11","6849"
"2017-09-12","10132"
"2017-09-13","7811"
"2017-09-14","9594"
"2017-09-15","8863"
"2017-09-16","6155"
"2017-09-17","6578"
"2017-09-18","2669"
"2017-09-19","9570"
"2017-09-20","15141"
"2017-09-21","7774"
"2017-09-22","10311"
"2017-09-23","2695"
"2017-09-24","3371"
"2017-09-25","10133"
"2017-09-26","9003"
"2017-09-27","13087"
"2017-09-28","8145"
"2017-09-29","7508"
"2017-09-30","7561"
"2017-10-01","4269"
"2017-10-02","5522"
"2017-10-03","8867"
"2017-10-04","11542"
"2017-10-05","11157"
"2017-10-06","8941"
"2017-10-07","1194"
"2017-10-08","2305"
"2017-10-09","565"
"2017-10-10","9344"
"2017-10-11","11537"
"2017-10-12","12075"
"2017-10-13","5200"
"2017-10-14","8425"
"2017-10-15","8932"
"2017-10-16","9792"
"2017-10-17","8181"
"2017-10-18","10925"
"2017-10-19","8740"
"2017-10-20","6857"
"2017-10-21","6925"
"2017-10-22","10656"
"2017-10-23","7918"
"2017-10-24","7363"
"2017-10-25","10307"
"2017-10-26","11495"
"2017-10-27","6545"
"2017-10-28","7476"
"2017-10-29","4242"
"2017-10-30","4065"
"2017-10-31","12458"
"2017-11-01","12571"
"2017-11-02","5812"
"2017-11-03","936"
"2017-11-04","0"
"2017-11-05","0"
"2017-11-06","6339"
"2017-11-07","9112"
"2017-11-08","11596"
"2017-11-09","8958"
"2017-11-10","12851"
"2017-11-11","8590"
"2017-11-12","7041"
"2017-11-13","6998"
"2017-11-14","9469"
"2017-11-15","12054"
"2017-11-16","12469"
"2017-11-17","11163"
"2017-11-18","8201"
"2017-11-19","10777"
